email,full_address,genral_info,locality_,logo,name,number_of_riews,payment_mentod,phone_number,stars_out_of_five,street_adress,website
mailto:customerservice@fhfurr.com,"9040 Mike Garcia Dr Manassas, VA 20109","F.H. Furr Plumbing & Heating was started in February of 1981 by Floyd and Barbara Furr. Despite limited resources, the owners were determined to build a successful, professional business. By 1987, the company had expanded into air conditioning that led to the incorporation of F.H. Furr Plumbing, Heating & Air Conditioning, Inc. In 1996, duct cleaning was added. The addition of water conditioning in 1997 transformed F.H. Furr Plumbing, Heating & Air Conditioning, Inc. into a truly full service company. We will be the leading plumbing, cooling and heating service provider in the Northern Virginia area. We will serve each customer in excellence by delivering more than we promise. We will serve and protect our environment and our community through responsible choices of products, policies and services. We will operate with impeccable integrity in our dealings with customers, employees, and suppliers.","Manassas, VA 20109",,F H Furr Plumbing-Heating & Air Conditioning,,check,(571) 234-6893,,9040 Mike Garcia Dr,http://www.fhfurr.com
mailto:jmdpaint@yahoo.com,"3018 Strathmead St Falls Church, VA 22042","At JMD Handyman Services we specialize in quality home improvement, no matter interior, exterior, residential, or commercial we are here for all your home improvement needs. Were respectful, honest, and reliable, and we take pride in being a company you can trust with 100% satisfaction guaranteed. Were happy to provide services that improve your property, increasing both its beauty and value. JMD Handyman Services is proud to serve Virginia, Maryland, and Washington, DC. Contact us today for a free quote or estimate.","Falls Church, VA 22042",,JMD Handyman Services,,"cash, check",(703) 864-9002,rating-stars zero  ,3018 Strathmead St,http://www.jmdhandymanservices.com
mailto:danielselectric1@verizon.net,3111 Georgia Ave NW None,"Since 2006, Daniel Electric has provided the D.C. area and beyond with light and comfort in homes and offices. We even service areas as far away as Maryland and Virginia ... we are that dedicated! We are quality electricians who believe in fair pricing and a strong work ethic. We offer quality work, we stay on budget and we finish on time. If you live in one of the many areas we service, give Daniel Electric a call for prompt, reliable electrical contractors that will have your home or office running in no time! 
 
 
Your lights may not be working, but choosing an electrical contractor shouldn't be a shot in the dark. When it comes down to the wire, and down to the electrical wires, you want to choose a company with experienced, reliable electricians who can do the job right. Daniel Electric is just such a company. 
 
 
Daniel Electric can help you with all of your electrical needs. We've been providing quality electrical services to Washington D.C. customers for six years. Our veteran electricians will ensure you a job well done at reasonable rates. Contact us today and let us know how we may help.",,,Daniels Electric,,"mastercard, check, discover, visa",(202) 291-4141,rating-stars zero  ,3111 Georgia Ave NW,
mailto:lentheplumbercustomerservice@lentheplumber.com,"10440 Furnace Rd Ste 106 Lorton, VA 22079","Len The Plumber is a locally owned and operated plumbing company in Maryland and Northern Virginia with over 20 years of experience in residential plumbing installation and repair services. We have an army of licensed plumbers and technicians with years of experience ready to provide you with exceptional service. From scheduling your appointment to completing the job, your satisfaction is our number one goal.  Our plumbing technicians service Fairfax County, Alexandria City, Arlington County, Loudoun County, and Prince William County.","Lorton, VA 22079",,Len The Plumber,,"visa, discover, mastercard, all major credit cards, check, debit, financing available",(703) 539-5134,rating-stars zero  ,10440 Furnace Rd Ste 106,http://lentheplumber.com/emergency-plumbing-service-baltimore-washington/?_vsrefdom=ypnova
mailto:gravesdesign1@gmail.com,6207 Old Keene Mill Ct None,"Fast Reliable Service, Guaranteed Work Clean and Efficient, Reasonable Rates",,,"W.D. GRAVES Plumbing, Inc.",,"check, all major credit cards, debit, financing available",(703) 451-8411,,6207 Old Keene Mill Ct,
mailto:sales@american-boiler.com,"5645r General Washington Dr Alexandria, VA 22312","American Boiler, Inc. has been conducting business in the Washington Metro area for the past 24 years. Our #1 business commitment is to customer satisfaction which enables us to have long term customer relationships. Our team of professionals can respond to all your service calls within 2 hours and most calls are handled in 1 hour or less. This is our policy 24 hours a day, 7 days a week. We are very cost competitive and use only the best materials available. Because our quality is second to none, we offer the best warranties in the business. Our company does more than change parts, we offer solutions to our customers. Please feel free to contact us anytime. We will be glad to answer any of your questions whether it involves a minor welding procedure or a building/boiler service contract, or any hydronic or chill water system.","Alexandria, VA 22312",,"American Boiler, Inc.",,"cash only, discover, master card, visa",(703) 941-3200,rating-stars zero  ,5645r General Washington Dr,http://www.american-boiler.com
,7688 Mandan Rd None,"""Fottlani Plumbing has been serving both commercial and residential plumbing, drains and pipe fixtures throughout the DMV area. With over 10 years of experience Fottlani Plumbing has earned an outstanding reputation based on service excellence and professionalism........""",,,Fottlani Plumbing,(1),,(301) 850-9779,rating-stars five  ,7688 Mandan Rd,
mailto:renee@chandlersplumbing.com,"6071 Arlington Blvd Falls Church, VA 22044","There's a lot about indoor air quality that you might not know and certainly can't see. Up to 72 trillion microscopic irritants, or allergens, find their way into your home every day. They include dust, pollen, pet hair and dander, dust mites, mildew, lint, fungus, most tobacco smoke, cooking grease and bacteria. Many of these particles are so small that your nose and throat can't filter them out, and they can get deep into your lungs.  Breathe easier with American Standard's AccuClean air filtration system -- it removes 99.98% of particles and allergens from the air in your home. AccuClean is 100 times more effective than conventional 1"" throw-away filters and ionic room appliances.  Choosing an American Standard air conditioner or heat pump with an Energy Star logo is an important step to saving money on your utility bills--along with consuming less energy. What can you expect from a unit carrying the Energy Star logo? Air conditioners or heat pumps that have this symbol are at least 20 percent more efficient than the federal government's current efficiency standard. Purchasing an American Standard Heating & Air Conditioning unit with the Energy Star label ensures that you're getting the highest efficiency available. Be sure to ask your American Standard Heating & Air Conditioning dealer about local incentives that are offered by many utility companies and financial institutions for the purchase of Energy Star products.","Falls Church, VA 22044",,Chandlers Plumbing & Heating Co,,"mastercard, all major credit cards, amex, discover, visa",(571) 732-0552,rating-stars zero  ,6071 Arlington Blvd,http://www.chandlersplumbing.com
,"14650 Rothgeb Dr Rockville, MD 20850","We desire to provide total customer satisfaction by establishing positive working relationships with each customer through organization, high quality, a professional attitude, and guaranteed workmanship, and maintaining that relationship by encouraging customer participation in design, arriving on time, keeping the customer informed, staying on budget and on schedule, and by having honesty, openness and integrity with every customer we have.","Rockville, MD 20850",,R.V. Carey's Plumbing & Heating,,financing available,(301) 424-8899,rating-stars zero  ,14650 Rothgeb Dr,http://www.rvcareys.com
mailto:ben.wilkson@southern-air.com,"2655 Lakeside Dr Lynchburg, VA 24501","Welcome to Southern Air, Inc. one of the Southeast's leading Mechanical and Electrical contractors. We specialize in the design, installation and service of heating, air conditioning, electrical, plumbing and piping systems for commercial and industrial facilities. As an ESOP company, each employee has a vested interest in everything they do. Were devoted to building trust and confidence with each customer to take you to the level needed to put Southern Air on your ""team"".","Lynchburg, VA 24501",,Southern Air,,"amex, visa, mastercard",(434) 329-7157,rating-stars zero  ,2655 Lakeside Dr,http://www.southern-air.com
